Estacion,decimalLatitude,decimalLongitude,eventTime,eventDate,Red,Solicitud,Vol_filtrado,Vol_concentrado,Vol_alicuota,Num_alicuotas,fieldNumber
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,300,31,49.65731868,300,5,2,SP-23-0443
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
49,2,-80,10:32:00,2023-10-26,500,31,84.13409269,150,5,7,SP-23-0444
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
65,2,-81,01:22:00,2023-10-27,300,31,59.77768179,150,5,2,SP-23-0452
